id,token,frequency
9039,b'|4',96
9040,b'(ba',304
9041,b' Pis',217
9042,b'tons',86
9043,b'got',162
9044,b'tso',62
9045,b'Referen',39
9046,b'gw',270
9047,b' Ep',261
9048,b'nau',217
9049,b' Rod',318
9050,b' Vall',119
9051,b' Easte',97
9052,b'spo',145
9053,b' trains',573
9054,b'aina',172
9055,b' sepa',66
9056,b' Vict',107
9057,b' Chig',14
9058,b'wel',194
9059,b'ces\n',355
9060,b' stations\n',144
9061,b'loc',198
9062,b' ji',275
9063,b'gsa',69
9064,b' puz',33
9065,b'zl',148
9066,"b'""j'",120
9067,b'igs',51
9068,b'lsb',42
9069,b'sem',292
9070,b'bled',304
9071,b' card',493
9072,b' design',1497
9073,b'Ji',213
9074,b' cog',222
9075,b' abi',102
9076,b'usu',53
9077,b'siona',86
9078,b'cale',64
9079,b'sor',457
9080,b'hus',319
9081,b'ias',338
9082,b' backi',230
9083,b'graph',221
9084,b'oden',28
9085,b' larger',958
9086,b' shap',144
9087,b'lts',249
9088,b'-pr',80
9089,b'oduc',190
9090,b'raph',306
9091,b' fully',530
9092,b' cut',718
9093,b'-pi',277
9094,b' woo',113
9095,b' puzz',33
9096,b'By',620
9097,b' maker',158
9098,b' size',1515
9099,b' typ',168
9100,b'xit',36
9101,b' towa',67
9102,b' formerl',153
9103,b'mens',120
9104,b' glo',314
9105,b'-pu',263
9106,b' Jig',36
9107,b' Puz',40
9108,b'saw',71
9109,b'Pu',198
9110,b' interl',155
9111,b' piec',36
9112,b' numbers',728
9113,b' differ',318
9114,b' rect',223
9115,b'angu',116
9116,b' puzzl',37
9117,b' corn',165
9118,b'zle',102
9119,b'ciall',120
9120,b' edg',200
9121,b'gsaw',10
9122,b' facto',168
9123,b'\xc3\x97',194
9124,b' squ',166
9125,b' E1',14
9126,b'izo',153
9127,b'tical',712
9128,b' dim',297
9129,b'x3',8
9130,b' otherw',253
9131,b'cm',46
9132,b'\xc2\xa0f',165
9133,b'spa',258
9134,b' ages',199
9135,b' jig',20
9136,b' piece',622
9137,b' olds',7
9138,b' ima',97
9139,b' fewe',218
9140,b' becaus',38
9141,b' puzzle',77
9142,b' Pie',322
9143,b' Gene',306
9144,b' enter',424
9145,b' Kane',104
9146,b' completi',291
9147,b' Alz',39
9148,b'hei',280
9149,b'zli',45
9150,b' auti',32
9151,b' Aut',139
9152,b' toy',156
9153,b'lands',530
9154,b'fiel',99
9155,b' Bac',191
9156,b' Jim',657
9157,b' released',4507
9158,b' Chim',92
9159,b' Newm',232
9160,b' Pric',281
9161,b'Alb',229
9162,b' single',3190
9163,b' Tou',259
9164,b' tracks',874
9165,b' release\n',29
9166,b' one\n',21
9167,b' two\n',21
9168,b':1',694
9169,b'lyi',56
9170,b':5',504
9171,b'Sid',110
9172,"b'""Is'",48
9173,b'elec',72
9174,b' Time',842
9175,b' Kev',296
9176,b'(on',299
9177,b'llip',19
9178,b'bes',148
9179,b' Start',159
9180,b' Oldf',22
9181,b' Wind',318
9182,b'xc',57
9183,b'.n',174
9184,b'Et',321
9185,b'keh',26
9186,b'etc',87
9187,b'RK',46
9188,b' highw',88
9189,b'-9',551
9190,b'S\xc2',97
9191,b'-7',444
9192,b'\xc2\xa0v',13
9193,b' Goo',282
9194,b' Holl',289
9195,b' Fli',288
9196,b' Hur',274
9197,b'ssione',81
9198,b' starts',311
9199,b' Low',280
9200,b'dwa',152
9201,b' downt',267
9202,b' follows',630
9203,b' Blu',293
9204,b' tru',121
9205,b'nkl',82
9206,b' Map',317
9207,b'wam',45
9208,b' byp',146
9209,b' US\xc2',167
9210,b'\xa01',189
9211,b'ssee',323
9212,b' Ow',299
9213,b'osso',20
9214,b'\xe2\x80\x93G',18
9215,b'unn',164
9216,b'/U',125
9217,b'\xa02',180
9218,b' termi',89
9219,b' Traf',104
9220,b'DT',51
9221,b' dai',221
9222,b' Dri',290
9223,b' Byp',37
9224,b' Belt',168
9225,b'/B',195
9226,b'ssioni',57
9227,b' rer',100
9228,b' Port',553
9229,b' Lap',175
9230,b' BS',168
9231,b'\xc2\xa0I',13
9232,b' starte',134
9233,b' eastw',90
9234,b' northw',188
9235,b' runn',116
9236,b'ection',606
9237,b'Maj',317
9238,b' route',1071
9239,b' Wy',305
9240,b' continued',1949
9241,b'/M',232
9242,b' Grandv',4
9243,b' followe',249
9244,b' turn',921
9245,b'see',241
9246,b'ways',165
9247,b'ansp',42
9248,b' Michig',157
9249,b' York',4948
9250,b'aser',38
9251,b' weeks',845
9252,b'itz',276
9253,b' Priz',115
9254,b'One',448
9255,b' Shel',319
9256,b' epi',184
9257,b'sod',155
9258,b' Gun',323
9259,b'ifo',222
9260,b'nald',68
9261,b' Div',153
9262,b'tres',140
9263,b'kly',279
9264,b'Ame',93
9265,b'top',322
9266,b' beam',291
9267,b' Bell',460
9268,b'ciate',62
9269,b'lta',243
9270,b'ciati',102
9271,b'eles',297
9272,b'Bel',317
9273,b' Sig',280
9274,b' Commu',111
9275,b'nica',327
9276,b'ades',322
9277,b' telep',266
9278,b' varie',252
9279,b'ure\xe2',3
9280,b' mir',244
9281,b' receive',592
9282,b' usin',55
9283,b'oyi',45
9284,b' selen',76
9285,b' cir',96
9286,b'ancem',51
9287,b'issio',222
9288,b'cad',218
9289,b' inven',123
9290,b'hot',234
9291,b'rors',69
9292,b' radia',204
9293,b' Mab',87
9294,b' actin',209
9295,b'orato',55
9296,b'upt',324
9297,b' Tain',25
9298,b' sun',311
9299,b' poin',46
9300,b'iest',151
9301,b' Bef',215
9302,b' developm',55
9303,b' away',1457
9304,b'hone',296
9305,b' ligh',66
9306,b' impro',131
9307,b' telec',158
9308,b' increa',54
9309,b' nig',153
9310,b'were',126
9311,b' Company',1603
9312,b' phot',71
9313,b'mps',158
9314,b' provided',1308
9315,b'dul',187
9316,b' sens',194
9317,b' Grah',308
9318,b'ibut',231
9319,b' Nationa',49
9320,b' Soci',144
9321,b'&T',59
9322,b' Labo',136
9323,b' moder',312
9324,b' Labs',45
9325,b'iths',72
9326,b'ow\n',70
9327,b'\xa03',61
9328,b'elen',50
9329,b' Pho',265
9330,b' pp',675
9331,b' Tele',299
9332,b' Vol',448
9333,b'usel',54
9334,b'\xa05',71
9335,b'xan',118
9336,b' Scie',84
9337,b'.Z',8
9338,b' demo',296
9339,b' transmi',174
9340,b' Brow',107
9341,b' Octob',42
9342,b' Alex',430
9343,b'ande',226
9344,b'.\xc2\xa0',321
9345,b' Engi',164
9346,b'scr',180
9347,b' App',275
9348,b'dwe',22
9349,b'Bre',161
9350,b'oniq',9
9351,b'Ja',320
9352,b'asg',29
9353,b' mano',175
9354,b' actio',51
9355,b' Proc',308
9356,b'Mos',234
9357,b'Mer',154
9358,b'phon',291
9359,b'pteu',2
9360,"b""'i""",245
9361,b'.M',300
9362,b' Sil',301
9363,b'roc',306
9364,b' Enc',281
9365,b'toph',50
9366,b' World',6068
9367,b' reci',111
9368,b' servicem',42
9369,b' Dau',208
9370,b' Mani',278
9371,b' Bark',111
9372,b'fied',902
9373,b' student',912
9374,b'anen',210
9375,b' outb',315
9376,b'reak',357
9377,b' Fly',332
9378,b' Roya',60
9379,b' Airc',177
9380,b' Fro',309
9381,b' Rol',259
9382,b'erve',161
9383,b' Men',432
9384,b' concen',100
9385,b' counte',196
9386,b'tac',292
9387,b' awar',301
9388,b' troo',35
9389,b'pw',27
9390,b' Came',293
9391,b' France',1906
9392,b' downe',26
9393,b'.V',143
9394,b' uno',229
9395,b' Jas',299
9396,b'.I',314
9397,b'erva',283
9398,b' claim',552
9399,b' kill',445
9400,b' operatio',44
9401,b' B6',16
9402,b' airm',50
9403,b'taw',88
9404,b'Bar',315
9405,b' officia',79
9406,b'raft',566
9407,b' RF',153
9408,b' Forces',418
9409,b' hero',343
9410,b' Muse',144
9411,b'sol',269
9412,b' Cem',246
9413,b' unv',161
9414,b' Nations',687
9415,b' Gue',312
9416,b' RC',279
9417,b' governm',47
9418,b' Barke',93
9419,b' Valo',78
9420,b' Canadia',44
9421,b'anad',26
9422,b'Av',162
9423,b' birth',878
9424,b' coache',219
9425,b' Ka\xc5',4
9426,b' Wars',593
9427,b' Pu\xc5',24
9428,b' teach',244
9429,b'usen',69
9430,b'w\xc4',10
9431,b'zk',80
9432,b'atl',50
9433,b' Whea',97
9434,b'oree',20
9435,b'fts',136
9436,b' Trad',218
9437,b' Wee',271
9438,b' weeke',272
9439,b' Mt',111
9440,b' Ple',293
9441,b' tent',291
9442,b' canc',76
9443,b'ella',354
9444,b'ine\n',222
9445,b' becomes',690
9446,b'Inf',235
9447,b'ded\n',8
9448,b'MO',54
9449,b' built\n',17
9450,b' develope',55
9451,b' WM',107
9452,b'WM',22
9453,b'nt\n',391
9454,b' purc',75
9455,b'te\n',213
9456,b'Whe',165
9457,b'nd\n',375
9458,b'ird',351
9459,b'mers',327
9460,b' Gla',312
9461,b'dys',57
9462,b'ins\n',68
9463,b'nett',71
9464,b' campg',24
9465,b'ds\n',252
9466,b' Kid',297
9467,b' Anni',281
9468,b' Play',320
9469,b'ys\n',83
9470,b' Sie',286
9471,b'gel',321
9472,b' Kit',299
9473,b' It\n',10
9474,b' Band',509
9475,b'b\n',79
9476,b' Corb',134
9477,b' Anne',387
9478,b'ster\n',71
9479,b' Proj',137
9480,b'ect\n',31
9481,b' Northe',213
9482,b' Dre',295
9483,b' Plan',331
9484,b' Whee',181
9485,b'ite\n',190
9486,b'ms\n',186
9487,b'kers',380
9488,b'!\n',143
9489,b' DeW',17
9490,b'les\n',260
9491,b'is\n',316
9492,b'son\n',139
9493,b'lew',100
9494,b' Mae',119
9495,b' Pete',268
9496,b' Der',295
9497,b' Sis',312
9498,b' Fog',84
9499,b' Fami',202
9500,b' Kir',275
9501,b'ton\n',137
9502,b'pet',321
9503,b' Lind',301
9504,b' Fla',269
9505,b'elly',182
9506,b'ell\n',67
9507,b'z\n',141
9508,b' Stee',240
9509,b'our\n',33
9510,b'eis',301
9511,b'ue\n',99
9512,b' Jus',90
9513,b' Trac',307
9514,b'rite',287
9515,b' Bib',164
9516,b' Anta',316
9517,b' Rut',307
9518,b' Fos',254
9519,b' Bla',267
9520,b' Hop',207
9521,b'pers',329
9522,b'ith\n',14
9523,b'bler',122
9524,b'estr',258
9525,b' Corn',225
9526,b'lst',154
9527,b' Wild',315
9528,b' Croo',34
9529,b'll\n',141
9530,b'rey',294
9531,b' Mol',321
9532,b' Lee',880
9533,b' Dal',297
9534,b'ryl',36
9535,b' Jen',313
9536,b' Duh',27
9537,b' Ramb',80
9538,b' Hear',184
9539,b' Dru',300
9540,b'oys',91
9541,b' Raw',100
9542,b' Ril',136
9543,b' Calv',216
9544,b' Gras',166
9545,b' Jiv',59
9546,b' Mam',302
9547,b'bir',125
9548,b'tst',202
9549,b' Hill',1324
9550,b'ol\n',61
9551,b' Wilk',155
9552,b'ie\n',81
9553,b' Lew',193
9554,b' Pett',112
9555,b'mals',208
9556,b' Fiv',200
9557,b' Stev',113
9558,b'yth',290
9559,b' Johnn',234
9560,b' Gim',60
9561,b' Mill',318
9562,b' Ver',304
9563,b'ch\n',159
9564,b' Balf',25
9565,b'way\n',42
9566,b' Bayo',54
9567,b' Volo',75
9568,b' Bart',310
9569,b' Beno',47
9570,b' Cep',22
9571,b' Frei',150
9572,b' Lar',252
9573,b' Lyn',298
9574,b' Bli',315
9575,b' Stri',271
9576,b'mingb',17
9577,b' Saf',317
9578,b' Benf',32
9579,b' Alls',37
9580,b' Bern',292
9581,b' Shoe',117
9582,b'fir',178
9583,b' Kah',137
9584,b' Ren',317
9585,b' Gos',231
9586,b'eso',250
9587,b'boy',207
9588,b'balls',13
9589,b' Willia',54
9590,b' Bone',147
9591,b' Fire',397
9592,b' Fid',106
9593,b' Pup',60
9594,b' Reu',224
9595,b'hoe',162
9596,b' Clau',277
9597,b'trot',8
9598,b' Wig',263
9599,b' Kay',186
9600,b'dler',122
9601,b' Robi',115
9602,b' Sag',318
9603,b' Oj',65
9604,b'ibw',31
9605,b'zar',322
9606,b' James',2312
9607,b' Danc',224
9608,b' Henri',270
9609,b' Holt',135
9610,b' Song',555
9611,b' Tarr',66
9612,b'ier\n',38
9613,b'gge',244
9614,b' Clay',275
9615,b' Ree',311
9616,b'.J',245
9617,b' Ande',172
9618,b' Band\n',53
9619,b' Danf',47
9620,b' Riz',79
9621,b'ebr',181
9622,b'tler',274
9623,b'se\n',139
9624,b' Cab',290
9625,b' See',397
9626,b' Dann',221
9627,b' Mud',149
9628,b'Hot',66
9629,b'kw',304
9630,b'ckg',132
9631,b'Ree',65
9632,b'Sw',281
9633,b'Red',139
9634,b'Je',300
9635,b' Rit',301
9636,b'Mik',108
9637,b'Sin',156
9638,b'llia',177
9639,b'ghw',26
9640,b'ueg',23
9641,b'ger\n',36
9642,b'Sou',181
9643,b' South\n',25
9644,b'illh',2
9645,b'cky',328
9646,b'diu',174
9647,b'nist',328
9648,b' presid',96
9649,b' USS',307
9650,b' Exe',133
9651,b' Commit',110
9652,b' Supr',116
9653,b' Presid',86
9654,b'lari',157
9655,b'resi',39
9656,b' Bun',302
9657,b' Rei',293
9658,b'azi',271
9659,b'nell',187
9660,b' Ez',117
9661,b' Pou',177
9662,b' Poe',351
9663,b' brie',104
9664,b' genera',285
9665,b' London',2997
9666,b' appeare',57
9667,b' additi',89
9668,b' Wilh',254
9669,b'elm',356
9670,b' Press',1771
9671,b'Im',308
9672,b'endo',279
9673,b'com',282
9674,b'mso',43
9675,b'kk',315
9676,b' defea',69
9677,b' sud',257
9678,b' goe',205
9679,b' missi',61
9680,b' Contr',302
9681,b'eba',215
9682,b' acqu',155
9683,b' endu',164
9684,b'Dev',197
9685,b' Holy',474
9686,b'Rel',310
9687,b' Sys',110
9688,b' cost',798
9689,b' USD',77
9690,b' Ret',192
9691,b' edit',129
9692,b' games',2539
9693,b' ps',151
9694,b' purs',207
9695,b'ross',214
9696,b' Aca',151
9697,b'lenc',127
9698,b' lec',191
9699,b'ssl',56
9700,b' biz',46
9701,b'htm',23
9702,b'stine',75
9703,b' Gera',291
9704,b' havin',61
9705,b' Chris',609
9706,b'unte',207
9707,b' visio',216
9708,b' Whil',109
9709,b' ero',218
9710,b'uci',206
9711,b'sses',399
9712,b' dism',263
9713,b' para',300
9714,b'tas',329
9715,b' Vr',75
9716,b' lite',97
9717,b'tine',343
9718,b' Virg',104
9719,b' appears',955
9720,b' Seat',310
9721,b' woma',91
9722,b'sky',390
9723,b'Hom',148
9724,b' amb',280
9725,b' lu',298
9726,b' meant',517
9727,b' deli',321
9728,b'ych',187
9729,b' Four',479
9730,b'inate',311
9731,b'tival',27
9732,b' Film',742
9733,b' Best',1399
9734,b'quel',80
9735,b' List',1402
9736,b'lms',22
9737,b'Fil',130
9738,b'denn',4
9739,b'ourg',49
9740,b' Ard',168
9741,b' Belg',136
9742,b' Alli',162
9743,b' Naz',241
9744,b'olf',189
9745,b'less',499
9746,b' Decemb',40
9747,b' German',3431
9748,b'antr',95
9749,b' defen',60
9750,b'gf',100
9751,b'ried',254
9752,b' remaine',63
9753,b' remaind',255
9754,b' Luf',234
9755,b'ualt',20
9756,b'ulg',95
9757,b'gero',40
9758,b' Dw',217
9759,b'senh',22
9760,b'eys',248
9761,b' Weh',59
9762,b'cht',314
9763,b' Norm',164
9764,b'andy',54
9765,b' Antw',65
9766,b'gom',40
9767,b'umn',67
9768,b' prio',112
9769,b' destr',54
9770,b' Brad',323
9771,b' openi',73
9772,"b""'F""",91
9773,b'edt',33
9774,b' coh',197
9775,b'ieved',121
9776,b' stret',300
9777,b' Firs',47
9778,b' somew',250
9779,b' Sche',316
9780,b'ldt',31
9781,b' Aa',307
9782,b'rtg',7
9783,b' litt',96
9784,b' Add',253
9785,b'itiona',161
9786,b'fen',207
9787,b' Septemb',45
9788,b'hau',179
9789,b' Meu',56
9790,b' weste',89
9791,b' armo',285
9792,b'iets',4
9793,b' Army',2533
9794,b' offen',277
9795,b'ield',1454
9796,b' shorta',116
9797,b' fiel',53
9798,b' shorte',320
9799,b'lied',106
9800,b' orders',444
9801,b'Dr',322
9802,b'sive',690
9803,b' milita',55
9804,b' Americans',500
9805,b' armi',237
9806,b'eved',109
9807,b' postu',60
9808,"b""'O""",264
9809,b' von',746
9810,b' commande',58
9811,b' Allie',40
9812,b' situ',118
9813,b' entir',65
9814,b' Germans',350
9815,b' nowa',45
9816,b' Germany',1801
9817,b' wart',130
9818,b' OK',51
9819,b' westw',89
9820,b' Ado',302
9821,b' SS',330
9822,b'lerj',2
9823,b' starti',109
9824,b' battl',75
9825,b' Mant',158
9826,b' Bran',263
9827,b'denb',46
9828,b' Lux',131
9829,b' Fif',288
9830,b' stren',123
9831,b'-eq',57
9832,b' weat',242
9833,b' unf',306
9834,b'llig',80
9835,b'ckd',7
9836,b' autu',130
9837,b' assem',179
9838,b'enne',167
9839,b' Britis',45
9840,b' SH',65
9841,b'AE',112
9842,b' Stro',318
9843,b' warn',317
9844,b'upe',57
9845,b'Tw',300
9846,b' decid',146
9847,b' wear',318
9848,b' pris',150
9849,b'oner',256
9850,b' brid',113
9851,b' Novemb',45
9852,b' captu',54
9853,b'edy',236
9854,b' dela',251
9855,b' Berl',181
9856,"b""'S""",306
9857,b' Adl',71
9858,b'orst',20
9859,b'cate',342
9860,b'igns',22
9861,b' Kra',315
9862,b' against',5314
9863,b' Countr',164
9864,b'nke',237
9865,b'\xb6s',54
9866,b'orab',11
9867,b' artil',249
9868,b'lery',457
9869,b'torm',49
9870,b' ham',291
9871,b' fue',157
9872,b' rocke',319
9873,b' road',1256
9874,b' assa',184
9875,b'ult\n',8
9876,b' Mons',268
9877,b' Group',1236
9878,b' Regi',145
9879,b'ision\n',105
9880,b' Armo',273
9881,b' Cav',151
9882,b' Six',345
9883,b' LX',17
9884,b'fel',320
9885,b' Volk',90
9886,b'sg',162
9887,b'rena',82
9888,b'pf',118
9889,b'upp',90
9890,b'lsc',32
9891,b'mj',15
9892,b' Brig',295
9893,b' Schn',149
9894,b' Divi',282
9895,b'sion\n',66
9896,b' Leh',98
9897,b' Infa',191
9898,b' shoul',58
9899,b'Whi',228
9900,b'oute',62
9901,b' alte',76
9902,b'chau',16
9903,b' Kri',286
9904,b' Els',151
9905,b' selec',64
9906,b' Waf',24
9907,b' Panz',40
9908,b' infa',253
9909,b' corp',204
9910,b'hre',251
9911,b' Pei',85
9912,b' heavy',828
9913,b'(4',917
9914,b'dly',395
9915,b' fier',136
9916,b'ergr',54
9917,b'asse',315
9918,b' faile',107
9919,b'rve',227
9920,b' ordere',120
9921,b'lage',293
9922,b' Reco',187
9923,b' Forw',70
9924,b' batta',249
9925,b'troo',34
9926,b' didn',301
9927,b' morn',207
9928,b'hera',255
9929,b'cup',66
9930,b'\xc2\xa0a',98
9931,b' sei',299
9932,b'linge',116
9933,b'ntry',424
9934,b'Ws',23
9935,b'neu',141
9936,b' qual',80
9937,b' Bau',318
9938,b' Wai',321
9939,b' gua',165
9940,b' passed',852
9941,b' leas',289
9942,b'mpf',15
9943,b' subse',178
9944,b' mur',195
9945,b' kee',196
9946,b'ping',831
9947,b' choo',290
9948,b' divis',65
9949,b'merg',20
9950,b' just',2200
9951,b'tted',411
9952,b'imat',95
9953,b' perp',179
9954,b'ator',552
9955,b' pus',238
9956,b' arriv',93
9957,b' Stav',70
9958,b' alr',97
9959,b'eady',127
9960,b' behi',100
9961,b' timet',31
9962,b' engin',53
9963,b' dum',142
9964,b' need',904
9965,b'gru',31
9966,b' attacke',245
9967,b' stop',634
9968,b' lose',328
9969,b' When',2024
9970,b'eati',208
9971,b' advan',85
9972,b' remaini',100
9973,b'mont',376
9974,b' brin',102
9975,b' stron',58
9976,b'ements',287
9977,b'ellg',4
9978,b'rup',172
9979,b'ying',1165
9980,b' reca',248
9981,b'ptu',319
9982,b' pros',172
9983,b' infi',313
9984,b'ltr',171
9985,b' easte',91
9986,b' report',960
9987,b'elot',20
9988,b' withd',90
9989,b' Airb',147
9990,b'ggl',219
9991,b' launc',44
9992,b' Corps',880
9993,b' Peip',12
9994,b' suppli',153
9995,b' aba',140
9996,b' lost',1819
9997,b'urie',52
9998,b' loss',879
9999,b' oppos',62
10000,b' After',3352
10001,b' vill',78
10002,b' disl',129
10003,b'odg',42
10004,b' cross',741
10005,b'herr',33
10006,b' went',2090
10007,b' failu',151
10008,b' tota',52
10009,b' small',2867
10010,b' conver',98
10011,b' recon',169
10012,b' With',1308
10013,b'ogn',115
10014,b'(8',342
10015,b' overw',184
10016,b' thinl',26
10017,b' spre',106
10018,b'oundi',58
10019,b' subst',102
10020,b' suffe',90
10021,b' vit',313
10022,b' Divis',48
10023,b'(7',476
10024,b' success',1244
10025,b' attacks',592
10026,b' signif',110
10027,b' Vit',286
10028,b' Giv',144
10029,b' Nam',318
10030,b' hast',79
10031,b' XX',212
10032,b'icant',95
10033,b'(Ar',220
10034,b' Marche',57
10035,b'\xbct',30
10036,b' leavi',106
10037,b' Foy',25
10038,b' Pant',291
10039,b' Grei',45
10040,b' unif',287
10041,"b'""K'",316
10042,b'ckp',48
10043,b' MP',331
10044,b' thing',319
10045,b' tig',261
10046,b' none',379
10047,b' hard',664
10048,b'aus',215
10049,b' lega',283
10050,b' comba',193
10051,b' legi',300
10052,b' likel',128
10053,b' fate',145
10054,b'gedl',15
10055,b' attacki',183
10056,b'erie',256
10057,b' kep',139
10058,b' plu',214
10059,b' confu',271
10060,b' Decembe',42
10061,b' Bast',163
10062,b' get',1125
10063,b'aper',224
10064,b' fight',715
10065,b' able',1319
10066,b'erge',201
10067,b' front',1155
10068,b' moun',170
10069,b' XL',27
10070,b'ounde',75
10071,b'ower',372
10072,b'izi',193
10073,b' oppor',165
10074,b' Eis',175
10075,b' Armi',112
10076,b' Arti',227
10077,b'\x80\x94m',34
10078,b' personn',79
10079,b' amm',214
10080,b'Des',313
10081,b'mete',177
10082,b'ender',364
10083,b' dema',125
10084,b' VG',27
10085,b' sides',521
10086,b' Divisi',140
10087,b' supply',494
10088,b' Allied',338
10089,b' fle',142
10090,b'mend',191
10091,b' Panze',155
10092,b' sie',215
10093,b' offens',231
10094,b' plane',385
10095,b' guns',587
10096,b' losi',204
10097,b' Allies',131
10098,b' Seve',152
10099,b' equi',284
10100,b' casu',317
10101,b' posit',88
10102,b' dre',244
10103,b' Nord',216
10104,b' planne',111
10105,b' requi',86
10106,b' tip',208
10107,b' mainta',76
10108,b' Tig',223
10109,b' tank',333
10110,b'oub',40
10111,b' leader',1212
10112,b' chos',113
10113,b' commands',128
10114,b' shat',39
10115,b'tme',90
10116,b'cations',387
10117,b' achi',94
10118,b' Hitl',253
10119,b' carry',484
10120,b' righ',47
10121,b' flan',201
10122,b' politica',53
10123,b' bad',359
10124,b' Oth',83
10125,b' maki',78
10126,b' limit',367
10127,b' cru',304
10128,b' headl',196
10129,b'ingl',210
10130,b' reser',108
10131,b' fas',187
10132,b' reali',167
10133,b'Mon',315
10134,b'ener',275
10135,b' persona',147
10136,b'gre',240
10137,b'embo',92
10138,b' April',3720
10139,b' contri',97
10140,b' reque',137
10141,b' accep',68
10142,b' troop',138
10143,"b'""Te'",185
10144,b' off\xc2',3
10145,b' think',447
10146,b'rks',192
10147,b' given',2330
10148,b' besi',232
10149,b' interp',179
10150,b'rete',286
10151,b' felt',581
10152,b' Montg',252
10153,b'vely',587
10154,b' gon',308
10155,b' Wins',183
10156,b' try',418
10157,b'oid',317
10158,b' Monty',48
10159,b'how',97
10160,b' vict',57
10161,b' mist',300
10162,b' HQ',66
10163,b'lings',202
10164,b' sac',306
10165,b' Lid',149
10166,b' Hart',364
10167,b' auth',195
10168,b' attemp',59
10169,b' Arde',108
10170,b'nnes',177
10171,b' Amb',316
10172,b' wrote',2208
10173,b' January',4013
10174,b'.N',268
10175,b' Dup',135
10176,b' Histo',92
10177,b' flat',378
10178,b'-Al',165
10179,b' Ope',76
10180,b'ration',1386
10181,b'\xbcr',323
10182,b'-ar',251
10183,b'oyer',26
10184,b' begi',54
10185,b'ected',718
10186,b' changes',928
10187,b' Patt',307
10188,b' battle',1003
10189,b'twa',185
10190,b' Stal',301
10191,b' Sovi',75
10192,b'Chu',140
10193,b' blac',50
10194,b' Thir',178
10195,b'ores',228
10196,b' Hut',300
10197,b' less',1612
10198,b' ple',223
10199,b' misr',40
10200,b' bank',623
10201,b' grow',360
10202,b' expla',276
10203,b'wing',643
10204,b' concl',125
10205,b' Eif',14
10206,b' secto',202
10207,b' UL',10
10208,b'itted',161
10209,b' Eur',204
10210,b' Battl',88
10211,b'ope\n',10
10212,b'icts',45
10213,b'ge\n',203
10214,b'tle\n',44
10215,b'tche',293
10216,b' equa',98
10217,b' respons',70
10218,b' Gou',200
10219,b' cot',94
10220,b' Pul',191
10221,b'ask',175
10222,b' Rock',847
10223,b' sib',169
10224,b' suffr',128
10225,b' Pik',114
10226,b'e\xe2',185
10227,b'\x80\x93F',63
10228,b'letc',2
10229,b'her\xe2',2
10230,b'\x80\x93T',42
10231,b' cous',282
10232,b' inci',185
10233,b' Terr',264
10234,b' classm',71
10235,b' college',1239
10236,b' helpe',134
10237,b' advo',157
10238,b' hir',174
10239,b'veni',169
10240,b'sla',189
10241,b' bran',75
10242,b'WC',33
10243,b' sis',102
10244,b' ses',138
10245,b' conven',169
10246,b' Litt',133
10247,b' CU',103
10248,b' libr',220
10249,b' WE',91
10250,b'rry',238
10251,b' alongs',130
10252,b' opened',2065
10253,b' Arka',214
10254,b'Act',310
10255,b'sts\n',526
10256,b'Wr',274
10257,b' Hong',662
10258,b' mart',315
10259,b' directo',53
10260,b' producer',1005
10261,b'-Ar',225
10262,b' Bru',320
10263,b' tie',274
10264,b' Bam',138
10265,b'boo',302
10266,b' Shan',284
10267,b' tai',202
10268,b' Wu',323
10269,b' Cheh',7
10270,b' Arme',249
10271,b' Box',265
10272,b' Shao',50
10273,b' favo',101
10274,b' Lun',268
10275,b' Kil',303
10276,b' eventu',72
10277,b' Fan',302
10278,b' Bai',278
10279,b'-hs',5
10280,b'omin',124
10281,b' aske',104
10282,b' Hs',59
10283,b'tang',34
10284,b' Pav',212
10285,b' Taip',78
10286,b' Tia',130
10287,b' Tie',178
10288,b' Tais',24
10289,b'tod',57
10290,b' Kim',334
10291,b' indus',63
10292,b' marria',115
10293,b' Kai',321
10294,b' coup',319
10295,b' Kue',24
10296,b'Ku',136
10297,b' Ming',157
10298,b' Swo',127
10299,b'rdsm',22
10300,b' Ling',137
10301,b'My',134
10302,b'iang',148
10303,b'erate',384
10304,b' x',333
10305,b'iong',11
10306,b' Chiv',30
10307,b'gon',407
10308,b' Fon',191
10309,b'ogu',256
10310,b' Yun',93
10311,b'-Sh',120
10312,b'Cho',85
10313,b'u\n',223
10314,b' Rig',171
10315,b'hteo',3
10316,b'usn',87
10317,b' Fu\n',2
10318,b' tia',23
10319,b'Bea',125
10320,b'Mas',302
10321,b'llot',23
10322,b'Ret',253
10323,b' Mao',107
10324,b'Mil',310
10325,b' Aga',254
10326,b' Cra',296
10327,b'iw',167
10328,b' scre',259
10329,b'enw',92
10330,b'Hon',296
10331,b'ratek',2
10332,b'sels',220
10333,b'llar',227
10334,b'rvo',25
10335,b' ner',265
10336,b've\n',104
10337,b'isu',54
10338,b' VU',11
10339,b' Coc',284
10340,b'/b',152
10341,b'bea',265
10342,b'(V',305
10343,b'/L',179
10344,b'(ta',51
10345,b'bia',471
10346,b'smo',73
10347,b' Days',224
10348,b'anna',173
10349,b' childr',57
10350,b'mai',229
10351,b'zan',258
10352,b' Tid',96
10353,b'wu',48
10354,b' produced',2295
10355,b'anak',16
10356,b' Mak',291
10357,b' Nap',244
10358,b' roles',646
10359,b'jan',256
10360,b'Ber',196
10361,b' dal',26
10362,b'Ny',16
